Age,WorkClass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-per-week,Native-Country,class
very-low, State-gov,low, Some-college,medium, Never-married, Farming-fishing, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, Assoc-voc,high, Married-civ-spouse, Prof-specialty, Wife, White, Female,very-low,very-low,low, United-States, >50K.
low, Private,medium, 7th-8th,very-low, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, Mexico, <=50K.
high, Private,low, Some-college,medium, Married-civ-spouse, Transport-moving, Husband, White, Male,low,very-low,medium, United-States, <=50K.
medium, Private,low, 11th,low, Separated, Priv-house-serv, Not-in-family, Black, Female,very-low,very-low,very-low, United-States, <=50K.
high, Self-emp-inc,low, HS-grad,medium, Widowed, Exec-managerial, Not-in-family, White, Female,very-low,very-low,medium, United-States, <=50K.
very-low, Private,very-low, Some-college,medium, Never-married, Other-service, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,medium, HS-grad,medium, Divorced, Handlers-cleaners, Own-child, Black, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, Some-college,medium, Never-married, Other-service, Own-child, White, Female,very-low,medium,very-low, United-States, <=50K.
very-low, Private,very-low, HS-grad,medium, Never-married, Other-service, Not-in-family, White, Male,medium,very-low,high, United-States, >50K.
low, Private,medium, 9th,low, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,very-low,very-low,medium, Mexico, <=50K.
very-low, Private,very-low, Some-college,medium, Never-married, Adm-clerical, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
high, Private,low, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Local-gov,high, Bachelors,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,low,very-low,medium, United-States, >50K.
medium, Self-emp-inc,low, HS-grad,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,low,very-low,medium, United-States, >50K.
low, Private,medium, HS-grad,medium, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, Bachelors,very-high, Never-married, Exec-managerial, Not-in-family, White, Female,very-low,very-low,medium, United-States, <=50K.
low, Private,very-low, Some-college,medium, Divorced, Sales, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, Masters,very-high, Never-married, Exec-managerial, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,medium, HS-grad,medium, Never-married, Machine-op-inspct, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Local-gov,low, HS-grad,medium, Divorced, Adm-clerical, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, Bachelors,very-high, Never-married, Other-service, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Self-emp-inc,high, Assoc-acdm,high, Married-civ-spouse, Craft-repair, Husband, White, Male,medium,very-low,high, United-States, >50K.
very-low, Private,very-low, Some-college,medium, Never-married, Other-service, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
medium, Private,low, HS-grad,medium, Separated, Transport-moving, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
high, Private,high, Some-college,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,medium,very-low,medium, United-States, >50K.
medium, Private,low, Assoc-voc,high, Married-civ-spouse, Tech-support, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,medium, HS-grad,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,low, Mexico, <=50K.
very-low, Private,high, Some-college,medium, Separated, Handlers-cleaners, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,medium, Some-college,medium, Married-civ-spouse, Craft-repair, Husband, Other, Male,very-low,very-low,low, Dominican-Republic, <=50K.
very-low, Private,low, 10th,low, Never-married, Prof-specialty, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, HS-grad,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-high, Self-emp-inc,low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,medium, HS-grad,medium, Married-civ-spouse, Transport-moving, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, Some-college,medium, Never-married, Adm-clerical, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Self-emp-inc,very-low, Some-college,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Private,low, Bachelors,very-high, Never-married, Exec-managerial, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, Some-college,medium, Separated, Other-service, Not-in-family, White, Male,very-low,medium,low, United-States, <=50K.
medium, Self-emp-inc,medium, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-high,very-low,medium, United-States, >50K.
low, Self-emp-not-inc,very-low, Some-college,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
medium, Private,low, HS-grad,medium, Separated, Machine-op-inspct, Not-in-family, White, Female,very-low,very-low,medium, United-States, <=50K.
very-low, Federal-gov,medium, 11th,low, Never-married, Other-service, Own-child, White, Female,very-low,very-low,very-low, United-States, <=50K.
high, Private,low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,high, United-States, >50K.
very-low, Federal-gov,medium, Some-college,medium, Never-married, Armed-Forces, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, Masters,very-high, Married-civ-spouse, Prof-specialty, Wife, White, Female,low,very-low,very-low, United-States, >50K.
high, Private,medium, Bachelors,very-high, Never-married, Exec-managerial, Not-in-family, White, Female,very-low,very-low,very-low, United-States, <=50K.
medium, Federal-gov,very-low, 7th-8th,very-low, Never-married, Other-service, Not-in-family, Black, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,low, Masters,very-high, Married-civ-spouse, Prof-specialty, Wife, White, Female,low,very-low,very-low, United-States, >50K.
high, Federal-gov,very-low, Bachelors,very-high, Divorced, Adm-clerical, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,low, Masters,very-high, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,high, HS-grad,medium, Never-married, Handlers-cleaners, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, Bachelors,very-high, Never-married, Exec-managerial, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,low, 10th,low, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
high, Private,medium, HS-grad,medium, Married-civ-spouse, Transport-moving, Husband, White, Male,very-low,very-low,low, United-States, >50K.
very-low, Private,low, HS-grad,medium, Never-married, Adm-clerical, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,low, Some-college,medium, Married-civ-spouse, Prof-specialty, Wife, White, Female,very-low,very-low,very-low, United-States, <=50K.
low, Private,low, Some-college,medium, Never-married, Adm-clerical, Unmarried, Black, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, Some-college,medium, Never-married, Transport-moving, Own-child, Black, Male,very-low,very-low,low, United-States, <=50K.
high, Self-emp-not-inc,medium, 9th,low, Widowed, Other-service, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Local-gov,low, HS-grad,medium, Widowed, Adm-clerical, Unmarried, White, Female,very-low,very-low,very-low, United-States, <=50K.
low, Private,very-low, 10th,low, Separated, Machine-op-inspct, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Local-gov,low, HS-grad,medium, Married-civ-spouse, Protective-serv, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Never-married, Transport-moving, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, Some-college,medium, Never-married, Handlers-cleaners, Own-child, Black, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Never-married, Other-service, Not-in-family, White, Female,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Never-married, Machine-op-inspct, Own-child, White, Female,very-low,very-low,medium, United-States, <=50K.
very-low, Private,low, Some-college,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,high, Assoc-voc,high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,low, United-States, >50K.
very-low, Private,very-low, HS-grad,medium, Never-married, Prof-specialty, Own-child, White, Female,very-low,very-low,very-low, United-States, <=50K.
low, Private,very-low, Some-college,medium, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Never-married, Handlers-cleaners, Unmarried, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, 11th,low, Never-married, Other-service, Not-in-family, White, Female,very-low,very-low,very-low, United-States, <=50K.
medium, Private,low, HS-grad,medium, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,low, Bachelors,very-high, Divorced, Sales, Unmarried, White, Female,very-low,very-low,low, United-States, >50K.
low, Local-gov,low, Bachelors,very-high, Divorced, Prof-specialty, Unmarried, White, Female,very-low,very-low,high, United-States, <=50K.
very-low, Private,medium, Some-college,medium, Never-married, Sales, Own-child, White, Female,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,medium, Some-college,medium, Never-married, Protective-serv, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, Some-college,medium, Divorced, Tech-support, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,low, HS-grad,medium, Divorced, Handlers-cleaners, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
very-high, Private,low, HS-grad,medium, Divorced, Adm-clerical, Not-in-family, White, Female,very-low,very-low,very-low, United-States, <=50K.
medium, Federal-gov,very-low, Doctorate,very-high, Married-civ-spouse, Prof-specialty, Wife, White, Female,very-low,very-low,low, United-States, >50K.
very-low, Private,low, HS-grad,medium, Never-married, Prof-specialty, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Self-emp-not-inc,very-low, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,high, Ireland, >50K.
low, Private,medium, Masters,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,high,medium, United-States, >50K.
low, Private,high, Some-college,medium, Married-civ-spouse, Adm-clerical, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, HS-grad,medium, Never-married, Craft-repair, Unmarried, Black, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,high, HS-grad,medium, Never-married, Prof-specialty, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Self-emp-inc,very-low, Doctorate,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, >50K.
high, Private,medium, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, Black, Male,very-low,very-low,medium, United-States, <=50K.
low, Private,low, Assoc-acdm,high, Never-married, Prof-specialty, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,high, United-States, >50K.
medium, Private,low, 7th-8th,very-low, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,very-low,very-low,low, United-States, <=50K.
low, Private,low, HS-grad,medium, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, 10th,low, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, Masters,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, Some-college,medium, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,very-low,very-low,very-low, Germany, <=50K.
low, Private,low, HS-grad,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,low,very-low,medium, United-States, >50K.
medium, Self-emp-inc,low, HS-grad,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,medium,medium, United-States, >50K.
low, Private,low, Masters,very-high, Never-married, Prof-specialty, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Self-emp-not-inc,low, HS-grad,medium, Widowed, Exec-managerial, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, Assoc-voc,high, Widowed, Exec-managerial, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,low, United-States, >50K.
high, Private,very-low, Bachelors,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,medium,very-low,medium, United-States, >50K.
very-low, Private,high, HS-grad,medium, Never-married, Sales, Not-in-family, White, Male,low,very-low,low, United-States, <=50K.
very-low, Private,low, Some-college,medium, Never-married, Other-service, Not-in-family, Black, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,medium, 11th,low, Married-civ-spouse, Other-service, Wife, Black, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, 7th-8th,very-low, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,medium, 11th,low, Never-married, Craft-repair, Unmarried, White, Male,very-low,very-low,low, United-States, <=50K.
low, State-gov,very-low, Bachelors,very-high, Married-civ-spouse, Adm-clerical, Husband, White, Male,very-low,medium,medium, United-States, >50K.
very-low, Private,very-low, Some-college,medium, Never-married, Adm-clerical, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Local-gov,very-low, HS-grad,medium, Never-married, Craft-repair, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-high, Bachelors,very-high, Never-married, Sales, Not-in-family, White, Male,very-low,very-low,very-low, United-States, <=50K.
medium, Private,very-low, Some-college,medium, Never-married, Handlers-cleaners, Unmarried, Black, Female,very-low,very-low,low, United-States, <=50K.
low, Self-emp-inc,very-low, Bachelors,very-high, Divorced, Exec-managerial, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
high, Private,very-low, 11th,low, Married-civ-spouse, Other-service, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,high, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Private,low, Bachelors,very-high, Never-married, Sales, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
medium, State-gov,very-low, Masters,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
low, Private,low, Some-college,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,low, United-States, >50K.
high, Self-emp-not-inc,low, Doctorate,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,very-low, United-States, >50K.
medium, Private,low, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Private,very-low, HS-grad,medium, Never-married, Handlers-cleaners, Unmarried, White, Male,very-low,very-low,very-low, United-States, <=50K.
high, Local-gov,low, HS-grad,medium, Divorced, Exec-managerial, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
high, Private,medium, HS-grad,medium, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,medium,low, United-States, >50K.
low, Private,low, Masters,very-high, Never-married, Prof-specialty, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, Bachelors,very-high, Never-married, Adm-clerical, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
high, Private,very-low, 12th,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,high, United-States, <=50K.
medium, Local-gov,very-low, Masters,very-high, Separated, Adm-clerical, Unmarried, Black, Female,very-low,very-low,low, United-States, <=50K.
low, Private,medium, Some-college,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
very-low, Private,high, Assoc-voc,high, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
low, Private,very-low, Some-college,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Self-emp-inc,low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
low, Private,medium, Some-college,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,medium,low, United-States, >50K.
low, Private,low, Masters,very-high, Never-married, Exec-managerial, Own-child, White, Male,low,very-low,low, United-States, <=50K.
high, Self-emp-inc,high, Some-college,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,medium,very-low,low, United-States, >50K.
very-low, Private,low, HS-grad,medium, Married-civ-spouse, Prof-specialty, Own-child, White, Female,very-low,very-low,low, United-States, >50K.
low, Private,low, Bachelors,very-high, Widowed, Exec-managerial, Not-in-family, White, Female,very-low,very-low,medium, United-States, <=50K.
medium, Private,medium, HS-grad,medium, Divorced, Sales, Unmarried, Black, Female,very-low,very-low,low, United-States, <=50K.
high, Private,low, Some-college,medium, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,very-low, United-States, <=50K.
high, Private,very-low, HS-grad,medium, Divorced, Handlers-cleaners, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Private,very-low, HS-grad,medium, Never-married, Machine-op-inspct, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
low, State-gov,high, Bachelors,very-high, Married-spouse-absent, Farming-fishing, Not-in-family, Black, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Never-married, Other-service, Not-in-family, White, Female,very-low,very-low,medium, United-States, <=50K.
low, Private,low, Bachelors,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,medium,low, United-States, >50K.
low, Private,low, Bachelors,very-high, Separated, Prof-specialty, Not-in-family, White, Male,very-low,very-low,medium, United-States, >50K.
medium, Private,high, Some-college,medium, Divorced, Adm-clerical, Not-in-family, Black, Female,very-low,very-low,low, United-States, <=50K.
very-high, Private,very-low, 7th-8th,very-low, Widowed, Prof-specialty, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Never-married, Prof-specialty, Unmarried, Black, Female,very-low,very-low,medium, United-States, <=50K.
low, Private,very-low, Some-college,medium, Divorced, Exec-managerial, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,medium, Some-college,medium, Never-married, Transport-moving, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
medium, Self-emp-inc,medium, Prof-school,very-high, Married-civ-spouse, Prof-specialty, Wife, White, Female,very-low,very-low,medium, United-States, >50K.
very-low, Private,high, HS-grad,medium, Never-married, Machine-op-inspct, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,very-low,very-low,low, United-States, >50K.
medium, Local-gov,low, Some-college,medium, Married-civ-spouse, Protective-serv, Husband, White, Male,very-low,very-low,low, United-States, >50K.
very-low, Self-emp-inc,low, Bachelors,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
high, Private,very-low, Bachelors,very-high, Divorced, Craft-repair, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
medium, Local-gov,low, Bachelors,very-high, Divorced, Prof-specialty, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,low, Assoc-voc,high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, >50K.
low, Self-emp-inc,very-low, Bachelors,very-high, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
medium, Private,high, 7th-8th,very-low, Married-civ-spouse, Craft-repair, Husband, Black, Male,very-low,very-low,low, United-States, <=50K.
very-high, Local-gov,low, HS-grad,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,high, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Wife, White, Female,very-low,very-low,medium, United-States, >50K.
low, Private,medium, Some-college,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
very-low, Private,very-low, 11th,low, Never-married, Sales, Not-in-family, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,very-low, Some-college,medium, Never-married, Other-service, Own-child, White, Female,very-low,very-low,medium, United-States, <=50K.
low, Federal-gov,low, Assoc-voc,high, Divorced, Craft-repair, Unmarried, White, Female,low,very-low,low, United-States, <=50K.
low, Private,very-low, Bachelors,very-high, Married-civ-spouse, Transport-moving, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, Bachelors,very-high, Never-married, Tech-support, Own-child, Black, Female,very-low,very-low,low, United-States, <=50K.
